sku,name,category,type,short_description,description,specs,brand,pack_size,image,featured,keywords
IOS,"Owandy IOS Intraoral Scanner, Wired Version",Imaging,Intraoral Scanner,"Owandy IOS intraoral scanner, wired.","Owandy IOS intraoral scanner (wired) capturing fast, accurate digital impressions for restorative and orthodontic workflows, with open-format output for lab and CAD/CAM use.",,Owandy,,IOS.jpg,,"intraoral scanner, digital impression, Owandy IOS, wired scanner, CAD/CAM"
IOSW,"Owandy IOS Intraoral Scanner, Wireless Version",Imaging,Intraoral Scanner,"Owandy IOS intraoral scanner, wireless.","Owandy IOS intraoral scanner (wireless) for cord-free digital impression taking, delivering accurate open-format scans with greater chairside freedom of movement.",,Owandy,,IOSW.jpg,,"wireless intraoral scanner, digital impression, Owandy IOS, cordless scanner, CAD/CAM"
OPETO1,Owandy OPTEO Intraoral Sensor #1,Imaging,Intraoral Sensor,"Owandy OPTEO intraoral sensor, size 1.","Owandy OPTEO digital intraoral sensor (size 1) with a high-resolution active surface and rounded, patient-comfortable corners for sharp periapical and bitewing images.",,Owandy,,OPETO1.jpg,,"intraoral sensor, digital sensor size 1, OPTEO, Owandy, periapical"
OPETO15,Owandy OPTEO Intraoral Sensor #1.5,Imaging,Intraoral Sensor,"Owandy OPTEO intraoral sensor, size 1.5.","Owandy OPTEO digital intraoral sensor (size 1.5) balancing coverage and comfort, with a high-resolution active surface for sharp periapical and bitewing images.",,Owandy,,OPETO15.jpg,,"intraoral sensor, digital sensor size 1.5, OPTEO, Owandy, periapical"
OPETO2,Owandy OPTEO Intraoral Sensor #2,Imaging,Intraoral Sensor,"Owandy OPTEO intraoral sensor, size 2.","Owandy OPTEO digital intraoral sensor (size 2, the common adult size) with a high-resolution active surface and rounded corners for sharp periapical and bitewing images.",,Owandy,,OPETO2.jpg,,"intraoral sensor, digital sensor size 2, OPTEO, Owandy, adult sensor"
DCXRAY,Owandy-DC Intraoral X-ray,Imaging,Intraoral X-ray,Owandy-DC intraoral X-ray generator.,"Owandy-DC intraoral X-ray generator for standard periapical and bitewing radiography, offering stable arm positioning and consistent exposures for everyday intraoral imaging.",,Owandy,,DCXRAY.jpg,,"intraoral x-ray, dental x-ray generator, Owandy-DC, periapical, bitewing"
RXXRAY,Owandy-RX PRO Intraoral X-ray,Imaging,Intraoral X-ray,Owandy-RX PRO high-frequency intraoral X-ray.,"Owandy-RX PRO high-frequency intraoral X-ray generator with a lightweight, stable arm for precise sensor alignment and reproducible periapical and bitewing images.",,Owandy,,RXXRAY.jpg,,"intraoral x-ray, RX PRO, high frequency, Owandy, periapical"
PROCEPH,I-Max PRO Ceph,Imaging,Panoramic + Cephalometric X-ray,I-Max PRO panoramic system with cephalometric arm.,"Owandy I-Max PRO Ceph digital panoramic system with an integrated cephalometric arm, adding orthodontic ceph tracings alongside standard panoramic imaging.",,Owandy,,PROCEPH.jpg,,"cephalometric x-ray, panoramic ceph, ortho imaging, Owandy I-Max, OPG"
PRO,I-Max PRO,Imaging,Panoramic X-ray,I-Max PRO digital panoramic X-ray system.,"Owandy I-Max PRO digital panoramic imaging system producing clear 2D panoramic radiographs for general diagnostics, with a compact footprint and a straightforward, patient-friendly workflow.",,Owandy,,PRO.jpg,,"panoramic x-ray, digital panoramic, Owandy I-Max PRO, dental imaging, OPG"
RXPORT,Owandy-Rx Portable,Imaging,Portable X-ray,Owandy-Rx handheld portable intraoral X-ray.,"Owandy-Rx portable handheld intraoral X-ray unit for point-of-care and mobile radiography, with lightweight ergonomics and integrated shielding for operator safety.",,Owandy,,RXPORT.jpg,,"portable x-ray, handheld dental x-ray, Owandy-Rx, mobile imaging, intraoral"
ISU-CAM,iSuni™ Intraoral Camera,Imaging,Intraoral Camera,Intraoral camera for chairside imaging and patient education.,"The iSuni™ intraoral camera captures crisp intraoral images for diagnosis, documentation and patient communication.",Intraoral camera; USB connection; chairside capture (see brochure for sensor/resolution),iSuni,1 unit,ISU-CAM.jpg,,"intraoral camera, dental camera, patient education camera, isuni camera"
ISU-SCAN-W,iSuni™ Intraoral Scanner — Wired,Imaging,Intraoral Scanner,Open-system wired intraoral scanner.,"The wired iSuni™ intraoral scanner delivers the same open-system flexibility (STL/PLY/OBJ export) in a tethered configuration for stable, high-throughput scanning.",Open system; exports STL / PLY / OBJ; wired/USB; edentulous & denture scanning,iSuni,1 unit,ISU-SCAN-W.jpg,,"intraoral scanner, wired scanner, digital impression, open system scanner, isuni"
ISU-SCAN-WL,iSuni™ Intraoral Scanner — Wireless,Imaging,Intraoral Scanner,Open-system wireless intraoral scanner.,"The iSuni™ wireless intraoral scanner uses an open system that lets you use scan data across any workflow supporting STL, PLY or OBJ. Scan edentulous arches or denture intaglios, capture hard-to-scan areas via impression scanning and merge with intraoral data, and combine scanning and imaging in a single device.",Open system; exports STL / PLY / OBJ; wireless; edentulous & denture scanning; impression-merge workflow,iSuni,1 unit,ISU-SCAN-WL.jpg,,"intraoral scanner, wireless scanner, digital impression, open system scanner, stl scanner, isuni"
ISU-SENS,iSuni™ Intraoral Sensor,Imaging,X-Ray Sensor,Digital intraoral X-ray sensor.,"The iSuni™ digital intraoral X-ray sensor produces sharp radiographs with a comfortable, durable design for routine diagnostic imaging.",Digital intraoral X-ray sensor; sizes per brochure; USB,iSuni,1 unit,ISU-SENS.jpg,,"intraoral sensor, digital xray sensor, dental radiography sensor, isuni sensor"
X-CURE,X-Cure Curing Light,Curing Lights,Curing Light,LED curing light.,X-Cure LED curing light for polymerising light-cured dental materials.,LED,Flight Dental Systems,,X-CURE.jpg,,"curing light, LED curing, X-Cure"
XLITE2-NEO,Xlite 2 NEO Curing Light,Curing Lights,Curing Light,Fast LED curing light (5-second cure).,Xlite 2 NEO LED curing light with fast ~5-second curing cycles.,~5 second cure | LED,Flight Dental Systems,,XLITE2-NEO.jpg,,"curing light, LED curing, fast cure, Xlite 2 NEO"
ML-STD,ModuLite® LED Curing Light,Curing Lights,LED Curing Light,Cordless modular LED curing light with polymerisation and detection modes.,"The original ModuLite® delivers an average irradiance of ~1800 mW/cm² from four collimated LEDs for uniform power distribution. One-button operation, a 10 mm curing tip, two quick-connect batteries (~200 cures per charge) and a charging base with built-in radiometer keep it ready all day.",~1800 mW/cm² avg irradiance; 4 collimated LEDs; one-button; 10 mm tip; 2 quick-connect batteries (~200 cures/charge); charging base w/ radiometer,ModuLite X,1 unit,ML-STD.jpg,,"led curing light, cordless curing light, curing light radiometer, polymerization light, modulite"
ML-X,ModuLite®X LED Curing Light,Curing Lights,LED Curing Light,Cordless multi-wavelength LED curing light with built-in caries detection.,"ModuLite®X features four custom multi-wavelength collimated LEDs emitting high-intensity light across 380–520 nm to polymerise all light-cured dental materials and penetrate porcelain to cure underlying resin cements. A DETECT mode highlights caries-infected dentin (porphyrin appears red, healthy tissue green) with included diagnostic glasses. CNC-milled aerospace aluminium body with a 360° rotatable head and auto-sleep.",4 collimated multi-wavelength LEDs; 380–520 nm; cordless / battery; 10 mm collimated lens; 360° rotatable head; Cure + DETECT (caries) modes; aerospace-aluminium CNC body; auto-sleep,ModuLite X,1 unit,ML-X.jpg,,"led curing light, curing light, caries detection light, cordless curing light, multi wavelength curing, modulite"
SG-3E,SureGuide® LED Curing Light Guide — SG-3E (fits 3M Elipar S10),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with 3M Elipar S10.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the 3M Elipar S10 curing light.",Optical curing light guide; direct fit for 3M Elipar S10; autoclavable; 1 per pack,SureGuide,1/pk,SG-3E.jpg,,"curing light guide, 3m elipar s10 light guide, replacement light guide, sg-3e, fiber optic guide"
SG-3ED,SureGuide® LED Curing Light Guide — SG-3ED (fits 3M Elipar DeepCure),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with 3M Elipar DeepCure.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the 3M Elipar DeepCure curing light.",Optical curing light guide; direct fit for 3M Elipar DeepCure; autoclavable; 1 per pack,SureGuide,1/pk,SG-3ED.jpg,,"curing light guide, 3m elipar deepcure light guide, replacement light guide, sg-3ed, fiber optic guide"
SG-AC,SureGuide® LED Curing Light Guide — SG-AC (fits Acteon Mini LED),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with Acteon Mini LED.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the Acteon Mini LED curing light.",Optical curing light guide; direct fit for Acteon Mini LED; autoclavable; 1 per pack,SureGuide,1/pk,SG-AC.jpg,,"curing light guide, acteon mini led light guide, replacement light guide, sg-ac, fiber optic guide"
SG-AD2,SureGuide® LED Curing Light Guide — SG-AD2 (fits AdDent Microlux 2),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with AdDent Microlux 2.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the AdDent Microlux 2 curing light.",Optical curing light guide; direct fit for AdDent Microlux 2; autoclavable; 1 per pack,SureGuide,1/pk,SG-AD2.jpg,,"curing light guide, addent microlux 2 light guide, replacement light guide, sg-ad2, fiber optic guide"
SG-BE,SureGuide® LED Curing Light Guide — SG-BE (fits Beyes Slimax-C),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with Beyes Slimax-C.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the Beyes Slimax-C curing light.",Optical curing light guide; direct fit for Beyes Slimax-C; autoclavable; 1 per pack,SureGuide,1/pk,SG-BE.jpg,,"curing light guide, beyes slimax-c light guide, replacement light guide, sg-be, fiber optic guide"
SG-KE,SureGuide® LED Curing Light Guide — SG-KE (fits Kerr Demetron (curved turbo)),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with Kerr Demetron (curved turbo).,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the Kerr Demetron (curved turbo) curing light.",Optical curing light guide; direct fit for Kerr Demetron (curved turbo); autoclavable; 1 per pack,SureGuide,1/pk,SG-KE.jpg,,"curing light guide, kerr demetron (curved turbo) light guide, replacement light guide, sg-ke, fiber optic guide"
SG-SP,SureGuide® LED Curing Light Guide — SG-SP (fits Dentsply Spectrum),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with Dentsply Spectrum.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the Dentsply Spectrum curing light.",Optical curing light guide; direct fit for Dentsply Spectrum; autoclavable; 1 per pack,SureGuide,1/pk,SG-SP.jpg,,"curing light guide, dentsply spectrum light guide, replacement light guide, sg-sp, fiber optic guide"
SG-WP,SureGuide® LED Curing Light Guide — SG-WP (fits Woodpecker LED-B),Curing Lights,Curing Light Guide,Replacement/upgrade LED curing light guide compatible with Woodpecker LED-B.,"A precision optical light guide engineered to deliver consistent, collimated output for reliable polymerisation. Designed as a direct-fit replacement or upgrade for the Woodpecker LED-B curing light.",Optical curing light guide; direct fit for Woodpecker LED-B; autoclavable; 1 per pack,SureGuide,1/pk,SG-WP.jpg,,"curing light guide, woodpecker led-b light guide, replacement light guide, sg-wp, fiber optic guide"
T8,STRONIC T8,Scalers,Air Scaler,Air scaler handpiece (T8).,"STRONIC T8 air scaler handpiece, part of the STRONIC air scaler system; can be paired with a Mobilio cart.",,AMW,Each,T8.jpg,,"air scaler, ultrasonic scaler, STRONIC T8"
T8-MINI,STRONIC T8 Mini,Scalers,Air Scaler,Compact air scaler handpiece.,STRONIC T8 Mini compact air scaler handpiece for the STRONIC air scaler system.,Compact,AMW,Each,T8-MINI.jpg,,"air scaler, ultrasonic scaler, mini, STRONIC T8 Mini"
X150,STRONIC X150,Scalers,Air Scaler,Air scaler handpiece.,STRONIC X150 air scaler with oscillating tip movement for prophylaxis and periodontal scaling.,Oscillating | multiple power settings,AMW,Each,X150.jpg,,"air scaler, ultrasonic scaler, STRONIC X150"
X300,STRONIC X300,Scalers,Air Scaler,"Air scaler with 3 power settings, 50+ tips.","STRONIC X300 air scaler with oscillating tip movement and three adjustable power settings for prophylaxis, perio, endo, prep and fissure sealing. Over 50 compatible tips; MaxGrip metal-ceramic coating; sterilizable to 135°C.",3 power settings | 50+ tips | MaxGrip coating | sterilizable to 135°C,AMW,Each,X300.jpg,,"air scaler, ultrasonic scaler, STRONIC X300, prophylaxis"
STRONICA,STRONIC Activator,Scalers,Scaler Accessory,Activation accessory for STRONIC system.,STRONIC Activator accessory for the STRONIC air scaler system.,,AMW,Each,STRONICA.jpg,,"air scaler accessory, activator, STRONIC"
STRONICH,STRONIC Heat,Scalers,Scaler Accessory,Heat accessory for STRONIC system.,STRONIC Heat unit within the STRONIC air scaler system.,,AMW,Each,STRONICH.jpg,,"air scaler accessory, STRONIC Heat"
STRONICST,STRONIC Surgery Tips,Scalers,Scaler Tips,Surgical tips for STRONIC air scaler.,STRONIC surgery tips for use with the STRONIC air scaler in surgical and specialised procedures.,,AMW,,STRONICST.jpg,,"scaler tips, surgical tips, air scaler, STRONIC"
STRONICT,STRONIC Tips,Scalers,Scaler Tips,Tips for STRONIC air scaler.,"STRONIC scaler tips covering prophylaxis, periodontics, endodontics and restorative indications for the STRONIC air scaler.",50+ compatible tips,AMW,,STRONICT.jpg,,"scaler tips, air scaler tips, STRONIC"
30KINSERT,Scaler Inserts 30K,Scalers,Scaler Insert,30K magnetostrictive scaler inserts.,30K magnetostrictive scaler inserts compatible with standard magnetostrictive scaling units.,30K,Flight Dental Systems,,30KINSERT.jpg,,"scaler inserts, 30K, magnetostrictive, ultrasonic tips"
FMS-2530,Flight Tabletop Ultrasonic Scaler,Scalers,Ultrasonic Scaler,Standalone tabletop ultrasonic scaler.,Flight tabletop ultrasonic scaler for prophylaxis and periodontal scaling.,,Flight Dental Systems,,FMS-2530.jpg,,"ultrasonic scaler, tabletop scaler, prophylaxis, scaling"
BI-2530,Flight Built-in Magnetostrictive Scaler,Scalers,Ultrasonic Scaler (Built-in),Built-in magnetostrictive ultrasonic scaler.,Built-in magnetostrictive ultrasonic scaler module for integration into delivery systems.,Magnetostrictive | built-in,Flight Dental Systems,,BI-2530.jpg,,"ultrasonic scaler, magnetostrictive, built-in scaler"
N6LED-1902,Flight Built-in Piezo Scaler,Scalers,Ultrasonic Scaler (Built-in),Built-in piezo ultrasonic scaler.,Built-in piezoelectric ultrasonic scaler module for integration into delivery systems.,Piezo | built-in,Flight Dental Systems,,N6LED-1902.jpg,,"ultrasonic scaler, piezo, built-in scaler"
ART-G8-KIT,Artica® G8 Anterior Matrix System — Intro Kit,Restorative,Anterior Matrix Kit,"Complete anterior matrix system for Class III, IV & V composite restorations.",The Artica® G8 anterior matrix system simultaneously restores proximal and cervical margins even with a rubber dam or retraction cord in place. Its anatomically contoured matrices adapt precisely to the unique shape of anterior teeth and preview the final restoration shape before you begin.,"Includes 2 x 2 mL Flowdam® syringes, 12 mini & 12 standard matrices, placement wings; ultra-thin 0.035 mm stainless steel; indications: Class III/IV/V and shape adjustments",Artica,1 kit,ART-G8-KIT.jpg,,"artica g8, anterior matrix, composite matrix, class iv matrix, dental matrix system, anterior restoration"
ART-SI-5PC,Artica® Si Composite Sculpture Instruments Kit,Restorative,Composite Instrument Kit,Five-piece color-coded composite layering and sculpting instrument kit.,"Artica® Si instruments are a collection of state-of-the-art tools for aesthetic restorations, designed specifically for composite layering. Each instrument is color-coded and named by its principal function to streamline efficient, predictable placement.",5 instruments per kit; color-coded by function; stainless steel; for composite layering & sculpting,Artica,5 pcs/kit,ART-SI-5PC.jpg,,"composite instruments, layering instruments, composite sculpting kit, artica si, restorative instruments"
ART-G8-MIN12,Artica® G8 Anterior Matrices Refill — Mini,Restorative,Matrix Refill,Mini ultra-thin anterior matrices refill for tight contact areas.,"Ultra-thin 0.035 mm stainless steel mini matrices for tight contact surfaces, giving better cervical adaptation on mandibular incisors and laterals. Placement wings ease positioning.",Ultra-thin 0.035 mm stainless steel; mini size; for mandibular incisors/laterals & maxillary laterals,Artica,12/pk,ART-G8-MIN12.jpg,,"artica g8 mini, anterior matrix bands, mini matrices, mandibular matrix refill"
ART-G8-STD12,Artica® G8 Anterior Matrices Refill — Standard,Restorative,Matrix Refill,Standard ultra-thin anterior matrices refill for the Artica® G8 system.,Ultra-thin 0.035 mm stainless steel matrices contoured for anatomically correct anterior restorations. Placement wings ease positioning. Indicated for maxillary central and lateral incisors and canines.,"Ultra-thin 0.035 mm stainless steel; standard size; placement wings; for maxillary centrals, laterals & canines",Artica,12/pk,ART-G8-STD12.jpg,,"artica g8 refill, anterior matrix bands, standard matrices, composite matrix refill"
ART-G6-VT32,Artica® G6 Direct Composite Veneer Template — Kit,Restorative,Veneer Template Kit,"Direct composite veneer template kit for efficient, aesthetic anterior veneers.","The Artica® G6 kit provides the tools to achieve flawlessly finished direct composite veneers on upper and lower teeth. Templates make procedures efficient, economical and minimally invasive. Compatible with Ultradent Uveneer workflows.",32 templates covering upper & lower anteriors; reusable; direct composite veneer technique,Artica,32 templates,ART-G6-VT32.jpg,,"direct composite veneer, veneer template, uveneer compatible, anterior aesthetics, composite veneer kit"
M1034,1/2 Artica™ Composite Sculpture Instruments,Restorative,Composite Instrument,"Artica composite sculpting instrument, 1/2, double-ended.",Artica double-ended composite sculpture instrument (size 1/2) with a non-stick anodized working surface for placing and contouring direct composite restorations.,Green,Markson,,M1034.jpg,,"composite instrument, composite sculpting, Artica, 1/2, restorative instrument"
M1035,3/4 Artica™ Composite Sculpture Instruments,Restorative,Composite Instrument,"Artica composite sculpting instrument, 3/4, double-ended.",Artica double-ended composite sculpture instrument (size 3/4) with a non-stick anodized working surface for placing and contouring direct composite restorations.,Yellow,Markson,,M1035.jpg,,"composite instrument, composite sculpting, Artica, 3/4, restorative instrument"
M1036,5/6 Artica™ Composite Sculpture Instruments,Restorative,Composite Instrument,"Artica composite sculpting instrument, 5/6, double-ended.",Artica double-ended composite sculpture instrument (size 5/6) with a non-stick anodized working surface for placing and contouring direct composite restorations.,Red,Markson,,M1036.jpg,,"composite instrument, composite sculpting, Artica, 5/6, restorative instrument"
M1037,7/8 Artica™ Composite Sculpture Instruments,Restorative,Composite Instrument,"Artica composite sculpting instrument, 7/8, double-ended.",Artica double-ended composite sculpture instrument (size 7/8) with a non-stick anodized working surface for placing and contouring direct composite restorations.,Blue,Markson,,M1037.jpg,,"composite instrument, composite sculpting, Artica, 7/8, restorative instrument"
M1038,9/10 Artica™ Composite Sculpture Instruments,Restorative,Composite Instrument,"Artica composite sculpting instrument, 9/10, double-ended.",Artica double-ended composite sculpture instrument (size 9/10) with a non-stick anodized working surface for placing and contouring direct composite restorations.,Grey,Markson,,M1038.jpg,,"composite instrument, composite sculpting, Artica, 9/10, restorative instrument"
M1039,"Artica™ Composite Sculpture Instruments Kit, w/ Cassette",Restorative,Composite Instrument,Artica composite sculpture instrument kit with cassette.,Artica composite sculpture instrument kit containing the full set of double-ended sculpting instruments in an autoclavable cassette for organised sterilisation and storage.,Kit with Cassette,Markson,,M1039.jpg,,"composite instrument kit, Artica, cassette, composite sculpting, restorative"
M1023,"SureTact™ Classic Tofflemire Matrix Band, No.1 Adult Universal, .0015” (144)",Restorative,Matrix Band,"Tofflemire matrix bands, No.1 adult universal, .0015"" (box of 144).","SureTact Classic Tofflemire matrix bands in the No.1 adult universal contour, 0.0015"" stainless steel. Used with a Tofflemire-style retainer to build a matrix for Class II amalgam and composite restorations. Box of 144.",,Markson,,M1023.jpg,,"tofflemire matrix band, matrix band, no.1 universal, SureTact, restorative matrix"
M1025,"SureTact™ Classic Tofflemire Matrix Band, No.13 Paedo Universal, .0015” (144)",Restorative,Matrix Band,"Tofflemire matrix bands, No.13 paedo universal, .0015"" (box of 144).","SureTact Classic Tofflemire matrix bands, No.13 paediatric universal contour, 0.0015"" stainless steel, sized for primary teeth. Box of 144.",,Markson,,M1025.jpg,,"tofflemire matrix band, paedo matrix, no.13, pediatric, SureTact"
M1024,"SureTact™ Classic Tofflemire Matrix Band, No.2 MOD Wide, .0015” (144)",Restorative,Matrix Band,"Tofflemire matrix bands, No.2 MOD wide, .0015"" (box of 144).","SureTact Classic Tofflemire matrix bands, No.2 MOD wide contour, 0.0015"" stainless steel, for wider MOD preparations. Box of 144.",,Markson,,M1024.jpg,,"tofflemire matrix band, MOD matrix, no.2 wide, SureTact, restorative matrix"
M1027,"SureTact™ TMR-CA Classic Matrix Retainer, Universal, SS, Contra Angle (1)",Restorative,Matrix Retainer,"Tofflemire matrix retainer, universal, stainless steel, contra-angle.",SureTact TMR-CA stainless steel Tofflemire matrix retainer with a contra-angle design for improved access to posterior teeth. Sold individually.,,Markson,,M1027.jpg,,"matrix retainer, contra angle retainer, TMR-CA, tofflemire, SureTact"
M1026,"SureTact™ TMR-S Classic Matrix Retainer, Universal, SS, Standard (1)",Restorative,Matrix Retainer,"Tofflemire matrix retainer, universal, stainless steel, standard.",SureTact TMR-S stainless steel Tofflemire matrix retainer in the universal standard configuration. Holds and tensions Tofflemire matrix bands for Class II restorations. Sold individually.,,Markson,,M1026.jpg,,"matrix retainer, tofflemire retainer, TMR-S, universal, SureTact"
M1049,"Artica™ G8 Anterior Matrices Refill, Mini (12)",Restorative,Matrix System,"Artica G8 anterior matrices refill, mini (12).","Artica G8 anterior matrix refill in the mini size, pack of 12, for anatomical anterior composite restorations.","maxillary and mandibular laterals, mandibular central incisors, conoid teeth, triangular teeth, peg laterals, teeth with narrow cervical diameter",Markson,,M1049.jpg,,"anterior matrix refill, Artica G8, mini matrix, composite, restorative"
M1050,"Artica™ G8 Anterior Matrices Refill, Standard (12)",Restorative,Matrix System,"Artica G8 anterior matrices refill, standard (12).","Artica G8 anterior matrix refill in the standard size, pack of 12, for anatomical anterior composite restorations.","maxillary central incisors, maxillary lateral incisors, canine teeth",Markson,,M1050.jpg,,"anterior matrix refill, Artica G8, standard matrix, composite, restorative"
M1048,Artica™ G8 Anterior Matrix System Intro Kit,Restorative,Matrix System,Artica G8 anterior matrix system intro kit.,Artica G8 anterior matrix system introductory kit for creating natural anatomical contours in anterior composite restorations; includes anterior matrices and the components needed to get started.,Matrix System Intro Kit,Markson,,M1048.jpg,,"anterior matrix, Artica G8, composite matrix, restorative, intro kit"
M1029,"SureTact™ Classic Wood Wedges Refills, Extra Small, White (100)",Restorative,Matrix Wedge,"Anatomical wood wedges, extra small (white), box of 100.","SureTact Classic anatomically shaped wood wedges, extra small (white). Adapt matrix bands interproximally and protect the gingiva during restorative procedures. Box of 100.",,Markson,,M1029.jpg,,"wood wedges, dental wedges, extra small, interproximal, SureTact"
M1032,"SureTact™ Classic Wood Wedges Refills, Large, Yellow (100)",Restorative,Matrix Wedge,"Anatomical wood wedges, large (yellow), box of 100.","SureTact Classic anatomically shaped wood wedges, large (yellow). Adapt matrix bands interproximally and protect the gingiva during restorative procedures. Box of 100.",,Markson,,M1032.jpg,,"wood wedges, dental wedges, large yellow, interproximal, SureTact"
M1031,"SureTact™ Classic Wood Wedges Refills, Medium, Pink (100)",Restorative,Matrix Wedge,"Anatomical wood wedges, medium (pink), box of 100.","SureTact Classic anatomically shaped wood wedges, medium (pink). Adapt matrix bands interproximally and protect the gingiva during restorative procedures. Box of 100.",,Markson,,M1031.jpg,,"wood wedges, dental wedges, medium pink, interproximal, SureTact"
M1030,"SureTact™ Classic Wood Wedges Refills, Small, Green (100)",Restorative,Matrix Wedge,"Anatomical wood wedges, small (green), box of 100.","SureTact Classic anatomically shaped wood wedges, small (green). Adapt matrix bands interproximally and protect the gingiva during restorative procedures. Box of 100.",,Markson,,M1030.jpg,,"wood wedges, dental wedges, small green, interproximal, SureTact"
SC-CARB-FG,SureCut® Carbide Burs (FG),Restorative,Carbide Burs,Tungsten carbide friction-grip burs.,"SureCut® carbide burs are engineered for both rough machining and precision finishing, delivering consistent performance across a wide range of materials. Available in the full range of standard shapes and shanks.",Tungsten carbide; friction-grip (FG) shank; full shape range — enumerate shape numbers from Markson price list,SureCut Burs,per box,SC-CARB-FG.jpg,,"carbide burs, fg burs, tungsten carbide, dental burs, finishing burs, surecut"
SC-DIA-FG,SureCut® Diamond Burs (FG),Restorative,Diamond Burs,Diamond-coated friction-grip burs.,"SureCut® diamond burs offer clean, efficient cutting and reduction across enamel, ceramics and composite. Available in the full range of shapes and grits (coarse / medium / fine).",Diamond-coated; friction-grip (FG) shank; grits coarse/medium/fine; full shape range — enumerate from Markson price list,SureCut Burs,per box,SC-DIA-FG.jpg,,"diamond burs, fg diamond, dental burs, reduction burs, ceramic burs, surecut"
SF-040,"SureFita® IRP Strip — Coarse (0.40 mm, Green)",Restorative,IPR Strips,"Double-sided diamond interproximal reduction strip, Coarse (0.40 mm).",SureFita® IRP strips are designed for controlled interproximal reduction (IPR) in orthodontic and restorative workflows. Two-sided diamond coating with a colour-coded grit for quick chairside identification. Compatible with the AirPeak® G200 automatic IPR handpiece.,2-sided diamond-coated strip; Coarse grit; 0.40 mm thickness; colour Green; 10 per pack; manual or AirPeak G200 use,SureFita,10/pk,SF-040.jpg,,"ipr strips, interproximal reduction, coarse strip, diamond strip, orthodontic ipr, surefita"
SF-050,"SureFita® IRP Strip — Extra Coarse (0.50 mm, Pink)",Restorative,IPR Strips,"Double-sided diamond interproximal reduction strip, Extra Coarse (0.50 mm).",SureFita® IRP strips are designed for controlled interproximal reduction (IPR) in orthodontic and restorative workflows. Two-sided diamond coating with a colour-coded grit for quick chairside identification. Compatible with the AirPeak® G200 automatic IPR handpiece.,2-sided diamond-coated strip; Extra Coarse grit; 0.50 mm thickness; colour Pink; 10 per pack; manual or AirPeak G200 use,SureFita,10/pk,SF-050.jpg,,"ipr strips, interproximal reduction, extra coarse strip, diamond strip, orthodontic ipr, surefita"
SF-020,"SureFita® IRP Strip — Fine (0.20 mm, Red)",Restorative,IPR Strips,"Double-sided diamond interproximal reduction strip, Fine (0.20 mm).",SureFita® IRP strips are designed for controlled interproximal reduction (IPR) in orthodontic and restorative workflows. Two-sided diamond coating with a colour-coded grit for quick chairside identification. Compatible with the AirPeak® G200 automatic IPR handpiece.,2-sided diamond-coated strip; Fine grit; 0.20 mm thickness; colour Red; 10 per pack; manual or AirPeak G200 use,SureFita,10/pk,SF-020.jpg,,"ipr strips, interproximal reduction, fine strip, diamond strip, orthodontic ipr, surefita"
SF-030,"SureFita® IRP Strip — Medium (0.30 mm, Blue)",Restorative,IPR Strips,"Double-sided diamond interproximal reduction strip, Medium (0.30 mm).",SureFita® IRP strips are designed for controlled interproximal reduction (IPR) in orthodontic and restorative workflows. Two-sided diamond coating with a colour-coded grit for quick chairside identification. Compatible with the AirPeak® G200 automatic IPR handpiece.,2-sided diamond-coated strip; Medium grit; 0.30 mm thickness; colour Blue; 10 per pack; manual or AirPeak G200 use,SureFita,10/pk,SF-030.jpg,,"ipr strips, interproximal reduction, medium strip, diamond strip, orthodontic ipr, surefita"
SP-MAN3,SurePoli® RA Mandrel Refill,Restorative,Mandrel,Right-angle (RA) snap-on mandrel refill for SurePoli® discs.,"The RA snap-on mandrel mounts SurePoli® discs to a slow-speed contra-angle. Great for finishing composite, glass ionomers, amalgams and semi-precious restorations.",RA (right-angle / latch-type) mandrel; snap-on disc mount; 3 per pack,SurePoli,3/pk,SP-MAN3.jpg,,"ra mandrel, polishing mandrel, disc mandrel, mandrel refill, surepoli mandrel"
